date,max,min
20140101,15.5,3.1
20140102,12.1,3.1
20140103,8.5,3.8
20140104,11.7,2.4
20140105,7.3,3.9
20140106,10.5,2.1
20140107,9.9,1.9
20140108,12.8,2.8
20140109,11.8,3
20140110,6.8,1.4
20140111,9,0.7
20140112,9.5,1.4
20140113,8.3,2.4
20140114,7.7,1.7
20140115,4.4,1.8
20140116,9.1,-0.2
20140117,9.5,2.9
20140118,8.6,2.8
20140119,7.1,2
20140120,8.5,0.7
20140121,11.8,1.8
20140122,9.6,2.1
20140123,11.1,2.8
20140124,12.6,2.4
20140125,12.4,3
20140126,14.5,2.4
20140127,7.5,1.4
20140128,15,1.1
20140129,12.8,4.9
20140130,15.8,5.1
20140131,15.9,6.2
